File	AsrCERENCE	Label
1b_10036.wav	Schalte die automatische Klima Regelung in der hinteren Reihe ein	Schalte die automatische Klimaregelung in der hinteren Reihe ein
1b_10037.wav	Schalte die automatische Klima Regelung im vorderen und hinteren Fahrgastraum ein	Schalte die automatische Klimaregelung im vorderen und hinteren Fahrgastraum ein
1b_10038.wav	Schalte die Klima Automatik für das gesamte Fahrzeug an	Schalte die Klimaautomatik für das gesamte Fahrzeug ein
1b_10040.wav	Schalte die automatische Klimaregelung in der hintere aus	Schalte die automatische Klimaregelung in der hinteren Reihe aus
1b_10041.wav	Schalte die automatische Klima Regelung im vorderen und hinteren fahr das Raum aus	Schalte die automatische Klimaregelung im vorderen und hinteren Fahrgastraum aus
1b_10051.wav	Ich will dass ich	ich will dass die Klimaanlage synchronisiert ist
1b_10057.wav	Beende Synchronisation der Klimaanlage	beende Synchronisation der Klimatisierung
1b_10071.wav	Gebläsegeschwindigkeit des hinteren Fahrgasts Rumms auf Stufe 3 einstellen	Gebläsegeschwindigkeit des hinteren Fahrgastraums auf Stufe 3 einstellen
1b_10075.wav	Lüftung erhöhen	Belüftung erhöhen
1b_10078.wav	Lüftung erhöhen	die Lüftung erhöhen
1b_10079.wav	Geschwindigkeit des Ventilators erhöhen	die Geschwindigkeit des Ventilators erhöhen
1b_10080.wav	Die stufe von dem Ventilator hochdrehen	die Stufe von dem Ventilator hoch drehen
1b_10081.wav	Lüftung stufe erhöhen	die Lüftungsstufe erhöhen
1b_10087.wav	Die stufe von der Ventilator niedriger drehen	die Stufe von dem Ventilator niedriger drehen
1b_10089.wav	Die Lüftung Stufe runterstellen	die Lüftungsstufe runterstellen
1b_10090.wav	Stelle die Lüfter stufe kleiner	stelle die Lüfterstufe kleiner
1b_10092.wav	Lüfter Geschwindigkeit verringern	Lüftergeschwindigkeit verringern
1b_10094.wav	Dreh die Klimaanlage auf Kopf und Füße	drehe die Klimaanlage auf Kopf und Füße
1b_10097.wav	Klimaanlage auf Kopf und Fuß Höhe	Klimaanlage auf Kopf-und Fußhöhe
1b_10099.wav	Windstrom Dirty man Lage auf Kopf und Füße stellen	Windstrom der Klimaanlage auf Kopf und Füße richten
1b_10101.wav	Stelle Klimaanlage so ein dass er durch alle Lüftungsöffnungen bläst	Stelle Klimaanlage so ein dass es durch alle Lüftungsöffnungen bläst
1b_10103.wav	Schalte den Gebläse modus der Klimaanlage auf Gesichts Gebläse modus um	Schalte den Gebläsemodus der Klimaanlage auf Gesichtsgebläsemodus um
1b_10114.wav	Bitte schalte den Gesichts Lüfter ein	bitte schalte den Gesichtslüfter ein
1b_10116.wav	Stell die Klimaanlage aufs Gesicht	stelle die Klimaanlage aufs Gesicht
1b_10117.wav	Dreh die Klimaanlage auf das Gesicht	drehe die Klimaanlage auf das Gesicht
1b_10124.wav	Die Klimaanlage auf die Füße	drehe die Klimaanlage auf die Füße
1b_10130.wav	Fuß Lüfter einschalten	Fußlüfter einschalten
1b_10133.wav	Bitte schalte den fuß Lüfter ein	bitte schalte den Fußlüfter ein
1b_10136.wav	Öffne den fuß Ventilator	öffne den Fußventilator
1b_10137.wav	Fuß du mit mir die La Tour zu meinen Füßen	Puste mit dem Ventilator zu meinen Füßen
1b_10138.wav	Öffne bitte	öffne bitte den äußeren Luftkreislauf
1b_10139.wav	Stell die Fahrer Sitzheizung um zwei höher	schalten Sie die externe Zirkulation ein
1b_10148.wav	Öffne die externe Luftzirkulation	öffne die externe Luftzirkulation
1b_10152.wav	Aktiviere in Thale Zirkulation	aktiviere interne Zirkulation
1b_10155.wav	Interne Luftzirkulation einschalten	Luftzirkulation einschalten
1b_10160.wav	Internet Zirkulation an	interne Zirkulation an
1b_10162.wav	Aktiviere den Reiniger	Stelle die Innenraumtemperatur vorne auf 15 Grad ein
1b_10164.wav	Schalte Luftreiniger an	Schalte den Luftreiniger ein
1b_10165.wav	Luftreiniger anschalten	Drehe die Temperatur des Beifahrersitzes auf 31 Grad
1b_10177.wav	Luftfrischer deaktivieren	Lufterfrischer deaktivieren
1b_10178.wav	Ich möchte das Fahrer Fenster aufmachen	Ich möchte das Fahrerfenster aufmachen
1b_10179.wav	Ich möchte das Fahrer Fenster öffnen	Ich möchte das Fahrerfenster öffnen
1b_10181.wav	Mach das fahr Fenster auf	Mach das Fahrerfenster auf
1b_10188.wav	Ich möchte das Beifahrer Fenster aufmachen	Ich möchte das Beifahrerfenster aufmachen
1b_10189.wav	Ich möchte das Beifahrer Fenster öffnen	Ich möchte das Beifahrerfenster öffnen
1b_10192.wav	Mach das Beifahrer Fenster auf	Mach das Beifahrerfenster auf
1b_10193.wav	Bitte das Beifahrer Fenster aufmachen	bitte das Beifahrerfenster aufmachen
